,section,title,author,date,address
162,[영상],[영상] 일본 수출규제 판도라 상자 열린다,장현민 PD,2020-08-04 15:47,http://www.thelec.kr/news/articleView.html?idxno=6973
163,[전자부품],"서울반도체, LG전자 TV용 LED 시장 80% 점유...레다즈 진입",이기종 기자,2020-08-04 15:45,http://www.thelec.kr/news/articleView.html?idxno=6968
164,[뉴스],"""OLED TV로 업그레이드 하세요""...LG전자, 구형 TV 보상판매",이기종 기자,2020-08-04 15:44,http://www.thelec.kr/news/articleView.html?idxno=6965
165,[뉴스],"삼성전자, 화성사업장에 코로나19 검사소 설치",이혜진 기자,2020-08-03 23:49,http://www.thelec.kr/news/articleView.html?idxno=6964
166,[배터리],"신형 배터리 개발 경쟁, 고속충전·주행거리 연장에 초점",이수환 기자,2020-08-03 17:24,http://www.thelec.kr/news/articleView.html?idxno=6957
167,[뉴스],"전자부품연구원, '한국전자기술연구원'으로 새 출발",이기종 기자,2020-08-03 17:23,http://www.thelec.kr/news/articleView.html?idxno=6963
168,[뉴스],"코오롱인더, 2분기 영업익 40% 감소",이기종 기자,2020-08-03 17:23,http://www.thelec.kr/news/articleView.html?idxno=6959
169,[전자엔지니어],"마우저, 인텔 옵테인 등 신제품 287종 공급",이혜진 기자,2020-08-03 17:23,http://www.thelec.kr/news/articleView.html?idxno=6956
170,[전자엔지니어],어플라이드머티어리얼즈 '석세스2030' 계획 발표,이혜진 기자,2020-08-03 17:23,http://www.thelec.kr/news/articleView.html?idxno=6951
171,[중화권],주간 중국권 전자부품 동향 브리프 (2020.8.3 발행),디일렉,2020-08-03 17:23,http://www.thelec.kr/news/articleView.html?idxno=6949
172,[뉴스],"삼성전자, 스타트업 공모전 연다…내달 11일까지",이혜진 기자,2020-08-03 17:22,http://www.thelec.kr/news/articleView.html?idxno=6961
173,[전자부품],"MLCC, 하반기도 IT 중심 회복 기대",이기종 기자,2020-08-03 15:57,http://www.thelec.kr/news/articleView.html?idxno=6954
174,[반도체],CMP슬러리 스타트업 유비머트리얼즈 상용화 물꼬 텄다,한주엽 기자,2020-08-03 15:57,http://www.thelec.kr/news/articleView.html?idxno=6960
